1.53,0
3.38,0
5.22,0
7.06,2
8.91,2
10.75,1
12.6,1
14.44,0
16.28,0
18.12,0
19.96,0
21.8,0
23.65,0
25.48,3
27.33,3
29.17,4
31.02,4
32.87,0
34.71,0
36.54,2
38.39,2
40.24,5
42.08,5
43.93,66
45.79,66
47.63,106
49.47,106
51.31,111
53.15,111
54.98,106
56.82,106
58.67,103
60.51,103
62.34,105
64.18,105
66.02,105
67.87,113
69.72,113
71.55,111
73.4,111
75.24,114
77.08,114
78.93,108
80.78,108
82.62,107
84.44,107
86.29,114
88.13,114
89.97,117
91.81,117
93.65,111
95.5,111
97.34,111
99.18,111
101.02,111
102.86,111
104.72,115
106.56,115
108.4,119
110.24,119
112.08,115
113.94,115
115.79,113
117.64,113
119.48,109
121.32,109
123.16,113
125.01,113
126.86,116
128.7,116
130.54,117
132.4,117
134.24,114
136.09,114
137.94,109
139.78,109
141.64,110
143.48,110
145.32,116
147.16,116
149,114
150.86,114
151.85,114
153.69,107
155.54,107
157.38,103
159.22,103
161.08,96
162.92,96
164.77,95
166.61,95
168.45,92
170.31,92
172.15,79
174,79
175.84,62
177.68,62
179.54,38
181.38,38
183.22,11
185.06,11
201.65,0
203.49,0
205.32,0
207.17,0
209.01,0
210.85,0
212.69,0
214.53,0
216.37,0
218.2,0
220.06,0
221.9,0
223.73,0
225.57,0
227.41,0
229.24,0
231.09,0
232.94,0
234.78,0
236.62,0
238.46,0
240.3,0
242.14,0
243.99,0
245.82,0
247.66,0
249.5,0
251.34,5
253.19,5
255.04,48
256.89,48
258.73,99
260.57,99
262.41,105
264.24,105
266.08,111
267.93,111
269.78,115
271.62,115
273.45,114
275.29,114
277.12,110
278.97,110
280.83,107
282.66,107
284.5,116
286.34,116
288.18,119
290.03,119
291.87,118
293.71,118
295.54,114
297.39,114
299.23,112
301.08,112
302.92,115
304.76,115
306.61,123
308.46,123
310.3,123
312.14,123
313.99,119
315.85,119
317.7,114
319.53,114
321.38,115
323.22,115
325.08,123
326.93,123
328.78,123
330.62,122
332.46,122
334.31,118
336.15,118
338,116
339.84,116
341.68,115
343.54,115
345.38,118
347.22,118
349.08,120
350.92,120
351.84,114
353.69,114
355.53,106
357.38,106
359.22,106
361.06,106
362.92,103
364.76,103
366.6,95
368.45,95
370.29,75
372.14,75
373.99,43
375.84,43
377.68,6
379.52,6
401.61,0
403.45,0
405.28,0
407.13,0
408.98,0
410.81,0
412.66,0
414.49,0
416.34,0
418.18,0
420.02,0
421.86,0
423.69,0
425.54,0
427.38,0
429.21,0
431.05,0
432.89,0
434.73,0
436.58,0
438.41,0
440.25,0
442.09,0
443.94,0
445.78,0
447.61,0
449.46,0
451.3,0
453.15,0
455,0
456.84,0
458.68,0
460.51,20
462.38,20
464.22,97
466.06,97
467.89,114
469.73,114
471.58,110
473.42,110
475.26,109
477.1,109
478.95,109
480.8,109
482.64,114
484.47,114
486.3,118
488.15,118
490,115
491.85,115
493.68,113
495.52,113
497.36,110
499.2,110
501.05,110
502.9,112
504.73,112
506.57,121
508.41,121
510.26,120
512.1,120
513.95,114
515.79,114
517.63,111
519.48,111
521.32,113
523.16,113
525.01,115
526.87,115
528.71,117
530.55,117
532.4,113
534.23,113
536.09,108
537.94,108
539.78,103
541.61,103
543.46,103
545.31,103
547.16,102
549.01,102
550.86,86
551.84,86
553.69,71
555.54,71
557.37,48
559.22,48
561.06,23
562.91,23
564.76,3
566.6,3
601.62,0
603.46,0
605.3,0
607.16,0
609,0
610.85,0
612.68,0
614.52,0
616.35,0
618.2,0
620.05,0
621.89,0
623.73,0
625.57,0
627.41,0
629.26,3
631.11,3
632.95,26
634.8,26
636.64,91
638.48,91
640.31,102
642.16,102
643.99,114
645.84,114
647.68,115
649.51,115
651.35,113
653.19,113
655.04,110
656.88,110
658.72,112
660.56,112
662.4,117
664.26,117
666.1,123
667.94,123
669.77,119
671.61,119
673.46,114
675.3,114
677.14,114
678.98,112
680.82,112
682.66,116
684.5,116
686.34,120
688.18,120
690.02,118
691.87,118
693.72,114
695.56,114
697.4,111
699.24,111
701.09,112
702.94,112
704.78,117
706.62,117
708.46,116
710.31,116
712.17,111
714.01,111
715.85,106
717.69,106
719.54,102
721.39,102
723.23,98
725.08,98
726.92,92
728.77,92
730.62,72
732.46,72
734.3,49
736.16,49
738,17
739.85,17
741.69,3
743.54,3
801.59,0
803.43,0
805.27,0
807.12,0
808.96,4
810.82,4
812.66,32
814.51,32
816.36,94
818.2,94
820.04,111
821.88,111
823.71,117
825.55,117
827.39,117
829.24,117
831.09,114
832.92,114
834.76,111
836.6,111
838.45,111
840.29,111
842.14,116
843.97,116
845.81,121
847.66,121
849.5,118
851.34,118
853.19,118
855.02,113
856.86,113
858.71,112
860.54,112
862.38,119
864.22,119
866.08,121
867.92,121
869.76,118
871.6,118
873.43,113
875.28,113
877.13,112
